Year_Week;First_Dose_Adults;First_Dose_0_17;First_Dose_18_39;First_Dose_40_64;First_Dose_65;First_Dose_Adults_Cum;First_Dose_0_17_Cum;First_Dose_18_39_Cum;First_Dose_40_64_Cum;First_Dose_65_Cum;First_Dose_Adults_Cum_Pct;First_Dose_0_17_Cum_Pct;First_Dose_18_39_Cum_Pct;First_Dose_40_64_Cum_Pct;First_Dose_65_Cum_Pct;Second_Dose_Adults;Second_Dose_0_17;Second_Dose_18_39;Second_Dose_40_64;Second_Dose_65;Second_Dose_Adults_Cum;Second_Dose_0_17_Cum;Second_Dose_18_39_Cum;Second_Dose_40_64_Cum;Second_Dose_65_Cum;Second_Dose_Adults_Cum_Pct;Second_Dose_0_17_Cum_Pct;Second_Dose_18_39_Cum_Pct;Second_Dose_40_64_Cum_Pct;Second_Dose_65_Cum_Pct;Boost_Dose_Adults;Boost_Dose_0_17;Boost_Dose_18_39;Boost_Dose_40_64;Boost_Dose_65;Boost_Dose_Adults_Cum;Boost_Dose_0_17_Cum;Boost_Dose_18_39_Cum;Boost_Dose_40_64_Cum;Boost_Dose_65_Cum;Boost_Dose_Adults_Cum_Pct;Boost_Dose_0_17_Cum_Pct;Boost_Dose_18_39_Cum_Pct;Boost_Dose_40_64_Cum_Pct;Boost_Dose_65_Cum_Pct;Semi_Vaxxed_Adults;Semi_Vaxxed_0_17;Semi_Vaxxed_18_39;Semi_Vaxxed_40_64;Semi_Vaxxed_65;Semi_Vaxxed_Adults_Pct;Semi_Vaxxed_0_17_Pct;Semi_Vaxxed_18_39_Pct;Semi_Vaxxed_40_64_Pct;Semi_Vaxxed_65_Pct;Fully_Vaxx_Adults_Cum;Fully_Vaxx_0_17_Cum;Fully_Vaxx_18_39_Cum;Fully_Vaxx_40_64_Cum;Fully_Vaxx_65_Cum;Fully_Vaxx_Adults_Cum_Pct;Fully_Vaxx_0_17_Cum_Pct;Fully_Vaxx_18_39_Cum_Pct;Fully_Vaxx_40_64_Cum_Pct;Fully_Vaxx_65_Cum_Pct
2020-52;292;0;48;176;68;292;0;48;176;68;0.00;0.00;0.00;0.00;0.00;2;0;1;1;0;2;0;1;1;0;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00
2020-53;3732;0;1107;2392;233;4024;0;1155;2568;301;0.05;0.00;0.04;0.07;0.01;3;0;2;1;0;5;0;3;2;0;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00
2021-01;41120;1;11234;26713;3173;45144;1;12389;29281;3474;0.51;0.00;0.46;0.77;0.15;31;0;12;13;6;36;0;15;15;6;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;41094;1;11225;26702;3167;0.46;0.00;0.42;0.70;0.13;2;0;1;1;0;0.00;0.00;0.00;0.00;0.00
2021-02;37018;1;9119;18901;8998;82162;2;21508;48182;12472;0.93;0.00;0.80;1.27;0.52;37;0;6;13;18;73;0;21;28;24;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;37015;1;9127;18902;8986;0.42;0.00;0.34;0.50;0.38;5;0;3;2;0;0.00;0.00;0.00;0.00;0.00
2021-03;78021;1;6115;12184;59722;160183;3;27623;60366;72194;1.81;0.00;1.03;1.59;3.03;3200;0;893;2070;237;3273;0;914;2098;261;0.04;0.00;0.03;0.06;0.01;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;74889;1;5240;10140;59509;0.84;0.00;0.20;0.27;2.49;36;0;15;15;6;0.00;0.00;0.00;0.00;0.00
2021-04;76093;0;6338;11806;57949;236276;3;33961;72172;130143;2.67;0.00;1.27;1.90;5.45;35910;0;9788;23306;2816;39183;0;10702;25404;3077;0.44;0.00;0.40;0.67;0.13;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;43420;0;-2551;-9417;55388;0.49;0.00;-0.10;-0.25;2.32;73;0;21;28;24;0.00;0.00;0.00;0.00;0.00
2021-05;85129;0;5638;9909;69582;321405;3;39599;82081;199725;3.63;0.00;1.48;2.16;8.37;41436;1;10386;22057;8993;80619;1;21088;47461;12070;0.91;0.00;0.79;1.25;0.51;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;82803;-1;5933;13228;63642;0.93;-0.00;0.22;0.35;2.67;3273;0;914;2098;261;0.04;0.00;0.03;0.06;0.01
2021-06;53589;0;4367;7662;41560;374994;3;43966;89743;241285;4.23;0.00;1.64;2.36;10.11;75751;1;5920;11897;57934;156370;2;27008;59358;70004;1.76;0.00;1.01;1.56;2.93;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;55184;0;18621;41128;-4565;0.62;0.00;0.69;1.08;-0.19;39183;0;10702;25404;3077;0.44;0.00;0.40;0.67;0.13
2021-07;98980;2;5639;30302;63039;473974;5;49605;120045;304324;5.35;0.00;1.85;3.16;12.75;75337;0;6405;11870;57062;231707;2;33413;71228;127066;2.61;0.00;1.25;1.88;5.33;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;140830;4;15540;52386;72904;1.59;0.00;0.58;1.38;3.06;80619;1;21088;47461;12070;0.91;0.00;0.79;1.25;0.51
2021-08;105368;3;4170;29891;71307;579342;8;53775;149936;375631;6.54;0.00;2.01;3.95;15.74;84438;0;5593;9868;68977;316145;2;39006;81096;196043;3.57;0.00;1.46;2.14;8.22;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;172018;4;10902;43790;117326;1.94;0.00;0.41;1.15;4.92;156370;2;27008;59358;70004;1.76;0.00;1.01;1.56;2.93
