Short_Code;Country_Code;Name;Year_Week;1_Age60+;1_Age60+_Cum;1_Age60+_Cum_Pct;1_Age<60;1_Age<60_Cum;1_Age<60_Cum_Pct;ALL;ALL_Cum;ALL_Cum_Pct;Age0_4;Age0_4_Cum;Age0_4_Cum_Pct;Age10_14;Age10_14_Cum;Age10_14_Cum_Pct;Age15_17;Age15_17_Cum;Age15_17_Cum_Pct;Age18_24;Age18_24_Cum;Age18_24_Cum_Pct;Age25_49;Age25_49_Cum;Age25_49_Cum_Pct;Age50_59;Age50_59_Cum;Age50_59_Cum_Pct;Age5_9;Age5_9_Cum;Age5_9_Cum_Pct;Age60_69;Age60_69_Cum;Age60_69_Cum_Pct;Age70_79;Age70_79_Cum;Age70_79_Cum_Pct;Age80+;Age80+_Cum;Age80+_Cum_Pct;Age<18;Age<18_Cum;Age<18_Cum_Pct;AgeUNK;AgeUNK_Cum;AgeUNK_Cum_Pct;HCW;HCW_Cum;HCW_Cum_Pct;LTCF;LTCF_Cum;LTCF_Cum_Pct
AT;AUT;Αυστρία;2020-53;0,0;0,0;;0,0;0,0;;0,0;0,0;;0,0;0,0;;0,0;0,0;;0,0;0,0;;0,0;0,0;;0,0;0,0;;0,0;0,0;;0,0;0,0;;0,0;0,0;;0,0;0,0;;0,0;0,0;;0,0;0,0;;;0,0;;;0,0;;;0,0;
AT;AUT;Αυστρία;2021-01;1,0;1,0;0,0;0,0;0,0;;1,0;1,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;;0,0;0,0;;0,0;0,0;;0,0;0,0;;0,0;0,0;;1,0;1,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;;;0,0;;;0,0;;;0,0;
AT;AUT;Αυστρία;2021-02;187,0;188,0;0,01;217,0;217,0;0,0;403,0;404,0;0,01;0,0;0,0;;0,0;0,0;;1,0;1,0;0,0;9,0;9,0;0,0;98,0;98,0;0,0;109,0;109,0;0,01;0,0;0,0;;50,0;51,0;0,01;49,0;49,0;0,01;88,0;88,0;0,02;1,0;1,0;0,0;;0,0;;;0,0;;;0,0;
AT;AUT;Αυστρία;2021-03;2449,0;2637,0;0,12;2179,0;2396,0;0,05;4624,0;5028,0;0,07;1,0;1,0;0,0;0,0;0,0;;3,0;4,0;0,0;77,0;86,0;0,01;1188,0;1286,0;0,04;910,0;1019,0;0,07;0,0;0,0;;528,0;579,0;0,06;473,0;522,0;0,07;1448,0;1536,0;0,32;4,0;5,0;0,0;;0,0;;;0,0;;;0,0;
AT;AUT;Αυστρία;2021-04;6684,0;9321,0;0,41;10922,0;13318,0;0,26;17584,0;22612,0;0,31;0,0;1,0;0,0;0,0;0,0;;22,0;26,0;0,01;592,0;678,0;0,1;6155,0;7441,0;0,25;4153,0;5172,0;0,37;0,0;0,0;;2001,0;2580,0;0,25;1246,0;1768,0;0,23;3437,0;4973,0;1,05;22,0;27,0;0,0;;0,0;;;0,0;;;0,0;
AT;AUT;Αυστρία;2021-05;35167,0;44488,0;1,97;44518,0;57836,0;1,13;79623,0;102235,0;1,39;0,0;1,0;0,0;6,0;6,0;0,0;55,0;81,0;0,03;2173,0;2851,0;0,41;24860,0;32301,0;1,07;17423,0;22595,0;1,62;1,0;1,0;0,0;9041,0;11621,0;1,14;6674,0;8442,0;1,1;19452,0;24425,0;5,15;62,0;89,0;0,01;;0,0;;;0,0;;;0,0;
AT;AUT;Αυστρία;2021-06;39120,0;83608,0;3,7;49501,0;107337,0;2,1;88587,0;190822,0;2,59;0,0;1,0;0,0;0,0;6,0;0,0;34,0;115,0;0,04;2739,0;5590,0;0,8;28523,0;60824,0;2,02;18205,0;40800,0;2,92;0,0;1,0;0,0;8234,0;19855,0;1,95;6122,0;14564,0;1,89;24764,0;49189,0;10,38;34,0;123,0;0,01;;0,0;;;0,0;;;0,0;
AT;AUT;Αυστρία;2021-07;20825,0;104433,0;4,62;19015,0;126352,0;2,48;39826,0;230648,0;3,13;1,0;2,0;0,0;0,0;6,0;0,0;13,0;128,0;0,05;1410,0;7000,0;1,01;10675,0;71499,0;2,38;6916,0;47716,0;3,42;0,0;1,0;0,0;3197,0;23052,0;2,27;2899,0;17463,0;2,27;14729,0;63918,0;13,48;14,0;137,0;0,01;;0,0;;;0,0;;;0,0;
AT;AUT;Αυστρία;2021-08;7423,0;111856,0;4,95;14016,0;140368,0;2,75;21417,0;252065,0;3,43;0,0;2,0;0,0;1,0;7,0;0,0;21,0;149,0;0,06;911,0;7911,0;1,14;7827,0;79326,0;2,64;5256,0;52972,0;3,79;0,0;1,0;0,0;2755,0;25807,0;2,54;1415,0;18878,0;2,45;3253,0;67171,0;14,17;22,0;159,0;0,01;;0,0;;;0,0;;;0,0;
AT;AUT;Αυστρία;2021-09;7296,0;119152,0;5,27;7953,0;148321,0;2,91;15235,0;267300,0;3,63;0,0;2,0;0,0;0,0;7,0;0,0;14,0;163,0;0,06;561,0;8472,0;1,22;4467,0;83793,0;2,79;2911,0;55883,0;4,0;0,0;1,0;0,0;1612,0;27419,0;2,7;1254,0;20132,0;2,62;4430,0;71601,0;15,1;14,0;173,0;0,01;;0,0;;;0,0;;;0,0;
